filename,project,imagedate,species,experimenter,publication_url
img003.tif,Seed size,2011-01-13 11:16:59,Arabidopsis thaliana,Edgar Spalding,http://www.botany.wisc.edu/spalding.htm
img009.tif,Seed size,2011-01-13 11:16:59,Arabidopsis thaliana,Edgar Spalding,http://www.botany.wisc.edu/spalding.htm
img010.tif,Seed size,2011-01-13 11:16:59,Arabidopsis thaliana,Edgar Spalding,http://www.botany.wisc.edu/spalding.htm
