x, y, z, t, confidence
629.0, 313.0, 23.0, 0.0, 6.6325
627.0, 489.0, 20.0, 0.0, 6.6398
562.0, 496.0, 11.0, 0.0, 6.6534
535.0, 711.0, 6.0, 0.0, 6.7386
327.0, 683.0, 10.0, 0.0, 6.7628
387.0, 0.0, 15.0, 0.0, 6.7762
242.0, 310.0, 29.0, 0.0, 6.8006
216.0, 944.0, 21.0, 0.0, 6.8318
408.0, 679.0, 14.0, 0.0, 6.8817
126.0, 733.0, 20.0, 0.0, 7.0186
327.0, 373.0, 29.0, 0.0, 7.0186
88.0, 814.0, 15.0, 0.0, 7.0479
437.0, 571.0, 15.0, 0.0, 7.0922
484.0, 911.0, 26.0, 0.0, 7.1036
207.0, 200.0, 29.0, 0.0, 7.1238
326.0, 753.0, 29.0, 0.0, 7.1266
393.0, 719.0, 23.0, 0.0, 7.1568
629.0, 645.0, 16.0, 0.0, 7.1633
204.0, 507.0, 28.0, 0.0, 7.1954
372.0, 632.0, 26.0, 0.0, 7.2287
434.0, 668.0, 13.0, 0.0, 7.2478
710.0, 976.0, 28.0, 0.0, 7.2892
229.0, 620.0, 16.0, 0.0, 7.2987
0.0, 814.0, 19.0, 0.0, 7.3484
569.0, 852.0, 25.0, 0.0, 7.3588
166.0, 818.0, 27.0, 0.0, 7.5102
773.0, 962.0, 29.0, 0.0, 7.5682
458.0, 823.0, 29.0, 0.0, 7.5786
799.0, 658.0, 11.0, 0.0, 7.6028
404.0, 736.0, 29.0, 0.0, 7.6069
540.0, 823.0, 24.0, 0.0, 7.6252
215.0, 350.0, 29.0, 0.0, 7.6419
424.0, 797.0, 29.0, 0.0, 7.6726
336.0, 464.0, 27.0, 0.0, 7.8161
753.0, 469.0, 29.0, 0.0, 7.8318
349.0, 0.0, 19.0, 0.0, 8.0479
491.0, 949.0, 29.0, 0.0, 8.067
261.0, 1053.0, 12.0, 0.0, 8.0736
434.0, 719.0, 15.0, 0.0, 8.1223
445.0, 730.0, 29.0, 0.0, 8.1264
630.0, 799.0, 26.0, 0.0, 8.1961
1054.0, 596.0, 10.0, 0.0, 8.2155
361.0, 751.0, 28.0, 0.0, 8.2298
780.0, 802.0, 28.0, 0.0, 8.2509
255.0, 703.0, 29.0, 0.0, 8.3156
3.0, 873.0, 18.0, 0.0, 8.3334
732.0, 940.0, 28.0, 0.0, 8.3469
348.0, 776.0, 20.0, 0.0, 8.3576
314.0, 1053.0, 11.0, 0.0, 8.4937
359.0, 408.0, 29.0, 0.0, 8.512
303.0, 1052.0, 22.0, 0.0, 8.535
330.0, 1054.0, 14.0, 0.0, 8.7361
700.0, 126.0, 29.0, 0.0, 8.7512
631.0, 147.0, 29.0, 0.0, 8.7679
692.0, 473.0, 19.0, 0.0, 8.813
782.0, 866.0, 29.0, 0.0, 8.8303
314.0, 761.0, 20.0, 0.0, 8.848
732.0, 239.0, 29.0, 0.0, 8.8867
290.0, 766.0, 25.0, 0.0, 8.8928
394.0, 0.0, 24.0, 0.0, 8.9287
341.0, 498.0, 22.0, 0.0, 9.0691
757.0, 446.0, 17.0, 0.0, 9.1642
440.0, 2.0, 20.0, 0.0, 9.3283
758.0, 862.0, 25.0, 0.0, 9.4077
2.0, 715.0, 2.0, 0.0, 9.5362
1054.0, 291.0, 20.0, 0.0, 9.5495
703.0, 973.0, 24.0, 0.0, 9.5754
225.0, 562.0, 20.0, 0.0, 9.8088
320.0, 548.0, 16.0, 0.0, 10.3731
326.0, 946.0, 29.0, 0.0, 10.5417
729.0, 874.0, 29.0, 0.0, 10.6498
611.0, 254.0, 26.0, 0.0, 10.8594
487.0, 617.0, 4.0, 0.0, 10.868
767.0, 504.0, 16.0, 0.0, 10.919
485.0, 84.0, 28.0, 0.0, 10.9485
388.0, 308.0, 29.0, 0.0, 11.0932
384.0, 42.0, 29.0, 0.0, 11.111
170.0, 40.0, 29.0, 0.0, 11.1301
66.0, 562.0, 17.0, 0.0, 11.1963
0.0, 272.0, 0.0, 0.0, 11.2548
267.0, 589.0, 24.0, 0.0, 11.3143
589.0, 541.0, 5.0, 0.0, 11.3464
123.0, 85.0, 17.0, 0.0, 11.4008
929.0, 848.0, 0.0, 0.0, 11.4173
79.0, 625.0, 12.0, 0.0, 11.426
0.0, 957.0, 18.0, 0.0, 11.426
242.0, 595.0, 22.0, 0.0, 11.5047
0.0, 841.0, 10.0, 0.0, 11.5181
586.0, 496.0, 29.0, 0.0, 11.5237
26.0, 866.0, 26.0, 0.0, 11.6338
554.0, 244.0, 23.0, 0.0, 11.6671
370.0, 980.0, 29.0, 0.0, 11.7224
157.0, 50.0, 24.0, 0.0, 11.7734
33.0, 712.0, 9.0, 0.0, 11.8129
116.0, 241.0, 7.0, 0.0, 11.8283
148.0, 535.0, 7.0, 0.0, 11.8532
969.0, 283.0, 29.0, 0.0, 11.8979
174.0, 1029.0, 20.0, 0.0, 11.9006
428.0, 68.0, 26.0, 0.0, 11.963
63.0, 432.0, 9.0, 0.0, 12.0271
80.0, 964.0, 20.0, 0.0, 12.2101
452.0, 643.0, 5.0, 0.0, 12.2117
92.0, 409.0, 14.0, 0.0, 12.3419
436.0, 451.0, 29.0, 0.0, 12.3515
155.0, 322.0, 11.0, 0.0, 12.3523
155.0, 103.0, 14.0, 0.0, 12.4685
338.0, 1009.0, 14.0, 0.0, 12.4966
700.0, 538.0, 6.0, 0.0, 12.5053
83.0, 764.0, 6.0, 0.0, 12.5108
18.0, 963.0, 4.0, 0.0, 12.5429
591.0, 694.0, 29.0, 0.0, 12.6034
648.0, 533.0, 5.0, 0.0, 12.6367
644.0, 565.0, 17.0, 0.0, 12.6395
671.0, 592.0, 24.0, 0.0, 12.6605
432.0, 718.0, 7.0, 0.0, 12.6733
405.0, 0.0, 29.0, 0.0, 12.6744
647.0, 369.0, 9.0, 0.0, 12.7029
617.0, 519.0, 15.0, 0.0, 12.7395
860.0, 1009.0, 28.0, 0.0, 12.7613
264.0, 1007.0, 25.0, 0.0, 12.824
677.0, 518.0, 17.0, 0.0, 12.8476
110.0, 570.0, 11.0, 0.0, 12.9051
533.0, 506.0, 9.0, 0.0, 12.9152
420.0, 583.0, 29.0, 0.0, 12.9919
589.0, 694.0, 26.0, 0.0, 13.0222
126.0, 124.0, 12.0, 0.0, 13.0584
299.0, 865.0, 17.0, 0.0, 13.0863
686.0, 85.0, 24.0, 0.0, 13.0983
114.0, 926.0, 0.0, 0.0, 13.1134
101.0, 880.0, 22.0, 0.0, 13.1483
46.0, 929.0, 12.0, 0.0, 13.1723
621.0, 751.0, 29.0, 0.0, 13.1743
75.0, 155.0, 19.0, 0.0, 13.1768
171.0, 1018.0, 15.0, 0.0, 13.2039
551.0, 606.0, 13.0, 0.0, 13.2209
166.0, 915.0, 20.0, 0.0, 13.244
416.0, 588.0, 6.0, 0.0, 13.2736
694.0, 649.0, 7.0, 0.0, 13.3057
99.0, 195.0, 9.0, 0.0, 13.3276
387.0, 455.0, 29.0, 0.0, 13.3966
433.0, 844.0, 18.0, 0.0, 13.4282
205.0, 318.0, 13.0, 0.0, 13.4748
282.0, 993.0, 12.0, 0.0, 13.4983
297.0, 941.0, 4.0, 0.0, 13.5053
129.0, 442.0, 29.0, 0.0, 13.5302
311.0, 1024.0, 8.0, 0.0, 13.5894
997.0, 948.0, 29.0, 0.0, 13.6169
277.0, 975.0, 26.0, 0.0, 13.6175
